"Comunidad","Provincia_index","Provincia","Poblacion","Censo_electoral","Votantes","Votos_validos","Votos_candidaturas","Votos_blanco","Votos_nulos","PSOE","PP","Ciudadanos","Unidas_Podemos","VOX","ERC","JxCAT"
"Andalucía",4,"Almería",709340,500563,331015,328097,325814,2283,2918,98924,73952,56268,28934,62648,0,0
"Andalucía",11,"Cádiz",1238714,1000037,675912,667562,659356,8206,8350,210131,99394,131567,110807,87438,0,0
"Andalucía",14,"Córdoba",785240,648790,480773,473716,468961,4755,7057,163000,89203,79978,70427,56919,0,0
"Andalucía",18,"Granada",912075,752991,531552,523843,520115,3728,7709,177478,96588,90935,71466,73914,0,0
"Andalucía",21,"Huelva",519932,397592,268999,264569,261660,2909,4430,97766,44909,44842,34396,33920,0,0
"Andalucía",23,"Jaén",638099,526911,392085,386916,384392,2524,5169,152932,75885,61413,40880,46934,0,0
"Andalucía",29,"Málaga",1641121,1191841,826474,816868,809580,7288,9606,251908,144562,159316,118537,114199,0,0
"Andalucía",41,"Sevilla",1939887,1544180,1138563,1122507,1111116,11391,16056,416543,162891,187243,179497,136949,0,0
"Aragón",22,"Huesca",219345,172644,126720,125314,124043,1271,1406,41354,25149,24568,17151,13389,0,0
"Aragón",44,"Teruel",134572,107734,79427,78083,77260,823,1344,25629,18566,15357,8224,8336,0,0
"Aragón",50,"Zaragoza",954811,738231,559859,554407,549546,4861,5452,173557,99527,115651,77555,70663,0,0
"Principado de Asturias",33,"Asturias",1028244,974491,633601,626661,619803,6858,6940,207586,112180,104688,107426,72018,0,0
"Illes Balears",7,"Illes Balears",1128908,801721,524101,518507,513860,4647,5594,136698,87352,90340,92477,58567,0,0
"Canarias",35,"Las Palmas",1109175,868186,552491,545052,540791,4261,7439,154342,88313,84015,91216,38229,0,0
"Canarias",38,"Santa Cruz de Tenerife",1018510,851896,521882,516484,513132,3352,5398,141132,76491,71667,75695,31385,0,0
"Cantabria",39,"Cantabria",580229,501411,362910,359104,356801,2303,3806,90534,77902,54361,36784,40139,0,0
